ID,Person,Table,Library,Arrival,Departure,Num_Breaks,Break_Start,Break_End,fromStart,tillEnd,Neighbours,Known,yourName,yourTable,yourSeat
9632,5,G,Mainstack,12:20:37 AM,12:48:21 AM,0,[],[],1,0,"[(7, 6901)]","[(7, 6901)]",Paul,G,2
6901,7,G,Mainstack,12:20:37 AM,12:48:21 AM,0,[],[],1,0,"[(5, 9632)]","[(5, 9632)]",Paul,G,2
4575,4,G,Mainstack,12:50:22 AM,12:01:54 AM,0,[],[],0,1,"[(7, 7486), (5, 3503), (5, 9656)]","[(7, 7486)]",Paul,G,2
7486,7,G,Mainstack,12:50:22 AM,12:01:54 AM,1,"[datetime.datetime(2019, 4, 17, 22, 19, 35, 208668)]","[datetime.datetime(2019, 4, 17, 22, 24, 47, 277104)]",0,1,"[(4, 4575), (5, 3503), (5, 9656)]","[(4, 4575)]",Paul,G,2
3503,5,G,Mainstack,12:13:34 AM,12:11:36 AM,0,[],[],0,0,"[(4, 4575), (7, 7486)]",[],Paul,G,2
9656,5,G,Mainstack,12:12:51 AM,12:01:54 AM,0,[],[],0,1,"[(4, 4575), (7, 7486)]",[],Paul,G,2
6098,4,H,Mainstack,12:20:38 AM,12:36:01 AM,0,[],[],1,0,"[(7, 1866), (1, 4459)]",[],Paul,G,2
1866,7,H,Mainstack,12:20:38 AM,12:51:43 AM,0,[],[],1,0,"[(4, 6098), (1, 4459), (1, 5552), (4, 2869), (5, 7913), (1, 9899), (2, 3755)]",[],Paul,G,2
4459,1,H,Mainstack,12:20:58 AM,12:36:47 AM,0,[],[],0,0,"[(4, 6098), (7, 1866)]",[],Paul,G,2
5552,1,H,Mainstack,12:55:36 AM,12:07:18 AM,2,"[datetime.datetime(2019, 4, 17, 21, 39, 41, 62386), datetime.datetime(2019, 4, 17, 22, 3, 5, 53372)]","[datetime.datetime(2019, 4, 17, 21, 48, 24, 402566), datetime.datetime(2019, 4, 17, 22, 6, 21, 936979)]",0,0,"[(7, 1866), (4, 2869), (5, 7913)]",[],Paul,G,2
2869,4,H,Mainstack,12:42:55 AM,12:01:54 AM,1,"[datetime.datetime(2019, 4, 17, 22, 48, 32, 824066)]","[datetime.datetime(2019, 4, 17, 22, 52, 19, 99513)]",0,1,"[(7, 1866), (1, 5552), (5, 7913), (1, 9899), (2, 3755)]",[],Paul,G,2
7913,5,H,Mainstack,12:03:15 AM,12:01:54 AM,1,"[datetime.datetime(2019, 4, 17, 22, 7, 6, 923037)]","[datetime.datetime(2019, 4, 17, 22, 11, 43, 639155)]",0,1,"[(7, 1866), (1, 5552), (4, 2869), (1, 9899), (2, 3755)]",[],Paul,G,2
9899,1,H,Mainstack,12:13:06 AM,12:01:54 AM,0,[],[],0,1,"[(7, 1866), (4, 2869), (5, 7913), (2, 3755)]","[(2, 3755)]",Paul,G,2
3755,2,H,Mainstack,12:13:06 AM,12:01:54 AM,0,[],[],0,1,"[(7, 1866), (4, 2869), (5, 7913), (1, 9899)]","[(1, 9899)]",Paul,G,2
