ID,Person,Table,Library,Arrival,Departure,Num_Breaks,Break_Start,Break_End,fromStart,tillEnd,Neighbours,Known,yourName,yourTable,yourSeat
8314,1,O,Mainstack,12:13:59 AM,12:31:09 AM,0,[],[],1,0,"[(4, 8736), (5, 1067), (8, 8094)]",[],Paul,O,3
8736,4,O,Mainstack,12:13:59 AM,12:40:34 AM,1,"[datetime.datetime(2019, 4, 24, 22, 4, 17, 341524)]","[datetime.datetime(2019, 4, 24, 22, 6, 46, 184562)]",1,0,"[(1, 8314), (5, 1067), (8, 8094), (1, 855), (2, 8564)]","[(8, 8094)]",Paul,O,3
1067,5,O,Mainstack,12:40:02 AM,12:45:30 AM,0,[],[],0,0,"[(1, 8314), (4, 8736), (8, 8094), (1, 855), (2, 8564)]",[],Paul,O,3
8094,8,O,Mainstack,12:45:08 AM,12:40:34 AM,1,"[datetime.datetime(2019, 4, 24, 22, 15, 45, 698060)]","[datetime.datetime(2019, 4, 24, 22, 18, 45, 656833)]",0,0,"[(1, 8314), (4, 8736), (5, 1067), (1, 855), (2, 8564)]","[(4, 8736)]",Paul,O,3
855,1,O,Mainstack,12:03:02 AM,12:14:22 AM,0,[],[],0,0,"[(4, 8736), (5, 1067), (8, 8094), (2, 8564)]","[(2, 8564)]",Paul,O,3
8564,2,O,Mainstack,12:03:02 AM,12:14:22 AM,0,[],[],0,0,"[(4, 8736), (5, 1067), (8, 8094), (1, 855)]","[(1, 855)]",Paul,O,3
7096,1,P,Mainstack,12:13:59 AM,12:01:30 AM,0,[],[],1,0,"[(4, 262), (5, 8190), (8, 3930)]","[(5, 8190)]",Paul,O,3
262,4,P,Mainstack,12:13:59 AM,12:30:42 AM,1,"[datetime.datetime(2019, 4, 24, 21, 6, 44, 371406)]","[datetime.datetime(2019, 4, 24, 21, 13, 57, 240183)]",1,1,"[(1, 7096), (5, 8190), (8, 3930), (5, 1265), (1, 5177), (2, 4667), (6, 3263)]",[],Paul,O,3
8190,5,P,Mainstack,12:13:59 AM,12:01:30 AM,1,"[datetime.datetime(2019, 4, 24, 20, 54, 4, 226159)]","[datetime.datetime(2019, 4, 24, 20, 58, 50, 701646)]",1,0,"[(1, 7096), (4, 262), (8, 3930)]","[(1, 7096)]",Paul,O,3
3930,8,P,Mainstack,12:13:59 AM,12:38:41 AM,0,[],[],1,0,"[(1, 7096), (4, 262), (5, 8190), (5, 1265), (1, 5177), (2, 4667), (6, 3263)]",[],Paul,O,3
1265,5,P,Mainstack,12:07:26 AM,12:01:23 AM,0,[],[],0,0,"[(4, 262), (8, 3930), (1, 5177), (2, 4667), (6, 3263)]",[],Paul,O,3
5177,1,P,Mainstack,12:14:17 AM,12:03:21 AM,0,[],[],0,0,"[(4, 262), (8, 3930), (5, 1265), (2, 4667), (6, 3263)]","[(2, 4667)]",Paul,O,3
4667,2,P,Mainstack,12:14:29 AM,12:03:21 AM,0,[],[],0,0,"[(4, 262), (8, 3930), (5, 1265), (1, 5177), (6, 3263)]","[(1, 5177), (6, 3263)]",Paul,O,3
3263,6,P,Mainstack,12:24:47 AM,12:09:27 AM,0,[],[],0,0,"[(4, 262), (8, 3930), (5, 1265), (1, 5177), (2, 4667)]","[(2, 4667)]",Paul,O,3
