ID,Person,Table,Library,Arrival,Departure,Num_Breaks,Break_Start,Break_End,fromStart,tillEnd,Neighbors,Known,yourName,yourTable,yourSeat
2229,1,R,Wurster,12:45:29 AM,12:46:46 AM,0,[],[],1,1,"[(3, 6741), (4, 7528), (5, 2708), (6, 1063), (7, 1628), (8, 5810), (2, 7655), (4, 3668)]",[],Defne,M,5
6741,3,R,Wurster,12:46:03 AM,12:46:46 AM,0,"[datetime.datetime(2019, 4, 5, 14, 6, 23, 660452)]",[],1,1,"[(1, 2229), (4, 7528), (5, 2708), (6, 1063), (7, 1628), (8, 5810), (2, 7655), (4, 3668)]",[],Defne,M,5
7528,4,R,Wurster,12:46:03 AM,12:57:59 AM,0,[],[],1,0,"[(1, 2229), (3, 6741), (5, 2708), (6, 1063), (7, 1628), (8, 5810)]",[],Defne,M,5
2708,5,R,Wurster,12:46:03 AM,12:46:46 AM,1,"[datetime.datetime(2019, 4, 5, 13, 51, 55, 586208)]","[datetime.datetime(2019, 4, 5, 14, 6, 23, 660080)]",1,1,"[(1, 2229), (3, 6741), (4, 7528), (6, 1063), (7, 1628), (8, 5810), (2, 7655), (4, 3668)]",[],Defne,M,5
1063,6,R,Wurster,12:46:03 AM,12:20:01 AM,0,[],[],1,0,"[(1, 2229), (3, 6741), (4, 7528), (5, 2708), (7, 1628), (8, 5810), (2, 7655), (4, 3668)]",[],Defne,M,5
1628,7,R,Wurster,12:46:03 AM,12:46:46 AM,0,[],[],1,1,"[(1, 2229), (3, 6741), (4, 7528), (5, 2708), (6, 1063), (8, 5810), (2, 7655), (4, 3668)]",[],Defne,M,5
5810,8,R,Wurster,12:46:03 AM,12:46:46 AM,0,"[datetime.datetime(2019, 4, 5, 14, 20, 57, 354385), datetime.datetime(2019, 4, 5, 14, 22, 4, 430702)]",[],1,1,"[(1, 2229), (3, 6741), (4, 7528), (5, 2708), (6, 1063), (7, 1628), (2, 7655), (4, 3668)]",[],Defne,M,5
7655,2,R,Wurster,12:00:23 AM,12:46:46 AM,0,[],[],0,1,"[(1, 2229), (3, 6741), (5, 2708), (6, 1063), (7, 1628), (8, 5810), (4, 3668)]",[],Defne,M,5
3668,4,R,Wurster,12:06:24 AM,12:46:46 AM,0,[],[],0,1,"[(1, 2229), (3, 6741), (5, 2708), (6, 1063), (7, 1628), (8, 5810), (2, 7655)]",[],Defne,M,5
8760,1,M,Wurster,12:45:07 AM,12:46:46 AM,0,[],[],1,1,"[(2, 9882), (3, 6055), (4, 4880), (6, 4685), (8, 9613), (7, 3024), (4, 5943)]",[],Defne,M,5
9882,2,M,Wurster,12:45:07 AM,12:46:46 AM,0,[],[],1,1,"[(1, 8760), (3, 6055), (4, 4880), (6, 4685), (8, 9613), (7, 3024), (4, 5943)]",[],Defne,M,5
6055,3,M,Wurster,12:45:07 AM,12:46:46 AM,0,[],[],1,1,"[(1, 8760), (2, 9882), (4, 4880), (6, 4685), (8, 9613), (7, 3024), (4, 5943)]",[],Defne,M,5
4880,4,M,Wurster,12:45:07 AM,12:00:23 AM,0,[],[],1,0,"[(1, 8760), (2, 9882), (3, 6055), (6, 4685), (8, 9613), (7, 3024)]",[],Defne,M,5
