,ID,Table,Person,Arrival,Duration,Tentative Departure,Departure,Indicator,Neighbors
0,0,H,2,2019-01-01 19:12:04.429177,27.498676419685435,2019-01-01 19:37:04.356982,2019-01-01 19:39:34.349762,1,"[(8, 63)]"
1,1,K1,5,2019-01-01 19:01:01.236586,42.89680280311462,2019-01-01 19:40:01.062193,2019-01-01 19:43:55.044754,1,"[(3, 16), (4, 32), (8, 40), (6, 41)]"
2,2,A,3,2019-01-01 19:03:57.917804,47.248459296024095,2019-01-01 19:46:55.106493,2019-01-01 19:51:12.825362,1,"[(8, 37), (6, 62), (2, 117)]"
3,3,I,5,2019-01-01 19:04:23.061460,50.97612357981423,2019-01-01 19:50:43.577292,2019-01-01 19:55:21.628875,1,"[(2, 10), (8, 28), (4, 36), (3, 69)]"
4,4,Z,8,2019-01-01 19:09:15.790287,46.78532034491659,2019-01-01 19:51:47.716851,2019-01-01 19:56:02.909508,1,"[(4, 78)]"
5,5,X,2,2019-01-01 19:04:07.945959,53.997426970204806,2019-01-01 19:53:13.260157,2019-01-01 19:58:07.791577,1,"[(3, 14)]"
6,6,M1,5,2019-01-01 19:01:57.880509,51.93604472560573,2019-01-01 19:53:54.043193,2019-01-01 19:53:54.043193,0,[]
7,7,W,2,2019-01-01 19:14:20.506385,44.20961168046463,2019-01-01 19:54:31.939749,2019-01-01 19:58:33.083086,1,"[(1, 64), (4, 97), (7, 93)]"
8,8,D1,3,2019-01-01 19:10:01.862654,54.347391422775814,2019-01-01 19:59:26.265823,2019-01-01 20:04:22.706139,1,"[(8, 9), (1, 31), (6, 39), (4, 44), (5, 87)]"
9,9,D1,8,2019-01-01 19:21:55.615488,41.448653856800874,2019-01-01 19:59:36.451153,2019-01-01 20:03:22.534719,1,"[(3, 8), (8, 9), (1, 31), (6, 39), (4, 44), (5, 87)]"
10,10,I,2,2019-01-01 19:06:32.655625,58.421065480242696,2019-01-01 19:59:39.259197,2019-01-01 20:04:57.919554,1,"[(8, 28), (4, 36), (3, 69), (1, 127)]"
11,11,M,3,2019-01-01 19:04:42.141702,64.67649594727615,2019-01-01 20:03:29.950572,2019-01-01 20:09:22.731459,1,"[(7, 25), (2, 55)]"
12,12,H1,5,2019-01-01 19:20:28.182518,50.11927730236399,2019-01-01 20:06:01.961280,2019-01-01 20:10:35.339156,1,"[(4, 34), (6, 74)]"
13,13,S,2,2019-01-01 19:12:00.219761,60.018117749976795,2019-01-01 20:06:33.935275,2019-01-01 20:12:01.306826,1,"[(1, 100)]"
14,14,X,3,2019-01-01 19:14:45.081898,52.103814739089046,2019-01-01 20:06:51.310782,2019-01-01 20:06:51.310782,0,[]
15,15,G1,7,2019-01-01 19:33:34.940947,37.18118322960435,2019-01-01 20:07:23.005487,2019-01-01 20:10:45.811941,1,"[(4, 80)]"
16,16,K1,3,2019-01-01 19:24:01.336683,47.73036474601349,2019-01-01 20:07:24.811124,2019-01-01 20:11:45.158568,1,"[(4, 32), (8, 40), (6, 41), (1, 116)]"
17,17,Q,8,2019-01-01 19:00:47.525475,74.55915367576108,2019-01-01 20:08:34.388403,2019-01-01 20:15:21.074696,1,"[(5, 110), (3, 132)]"
18,18,C1,8,2019-01-01 19:11:12.893593,63.74942424306106,2019-01-01 20:09:10.134915,2019-01-01 20:14:57.859048,1,"[(4, 20), (6, 85), (3, 105), (5, 130)]"
19,19,A1,4,2019-01-01 19:36:21.337044,37.533485269812125,2019-01-01 20:10:28.618059,2019-01-01 20:13:53.346160,1,"[(7, 88), (3, 94)]"
